找不到  ： stx: CUnit-2.1.3-8.el7.x86_64.rpm 
找不到  ： stx: CUnit-devel-2.1.3-8.el7.x86_64.rpm 
版本一致：stx: GConf2-3.2.6-8.el7.x86_64.rpm                       ---  centos: GConf2-3.2.6-8.el7.aarch64.rpm
版本一致：stx: GeoIP-1.5.0-13.el7.x86_64.rpm                       ---  centos: GeoIP-1.5.0-13.el7.aarch64.rpm
版本一致：stx: GeoIP-devel-1.5.0-13.el7.x86_64.rpm                 ---  centos: GeoIP-devel-1.5.0-13.el7.aarch64.rpm
版本一致：stx: MySQL-python-1.2.5-1.el7.x86_64.rpm                 ---  centos: MySQL-python-1.2.5-1.el7.aarch64.rpm
名称一致：stx: NetworkManager-glib-1.12.0-8.el7_6.x86_64.rpm       ---  centos: NetworkManager-glib-1.12.0-6.el7.aarch64.rpm
名称一致：stx: NetworkManager-glib-devel-1.12.0-8.el7_6.x86_64..&gt;  ---  centos: NetworkManager-glib-devel-1.12.0-6.el7.aarch64.rpm
版本一致：stx: OpenIPMI-modalias-2.0.23-2.el7.x86_64.rpm           ---  centos: OpenIPMI-modalias-2.0.23-2.el7.aarch64.rpm
名称一致：stx: PyQt4-4.12-1.el7.x86_64.rpm                         ---  centos: PyQt4-4.10.1-13.el7.aarch64.rpm
版本一致：stx: PyYAML-3.10-11.el7.x86_64.rpm                       ---  centos: PyYAML-3.10-11.el7.aarch64.rpm
版本一致：stx: SDL-1.2.15-14.el7.x86_64.rpm                        ---  centos: SDL-1.2.15-14.el7.aarch64.rpm
版本一致：stx: SDL-devel-1.2.15-14.el7.x86_64.rpm                  ---  centos: SDL-devel-1.2.15-14.el7.aarch64.rpm
版本一致：stx: acl-2.2.51-14.el7.x86_64.rpm                        ---  centos: acl-2.2.51-14.el7.aarch64.rpm
版本一致：stx: acpica-tools-20160527-3.el7.x86_64.rpm              ---  centos: acpica-tools-20160527-3.el7.aarch64.rpm
版本一致：stx: acpid-2.0.19-9.el7.x86_64.rpm                       ---  centos: acpid-2.0.19-9.el7.aarch64.rpm
版本一致：stx: alsa-lib-1.1.6-2.el7.x86_64.rpm                     ---  centos: alsa-lib-1.1.6-2.el7.aarch64.rpm
版本一致：stx: alsa-lib-devel-1.1.6-2.el7.x86_64.rpm               ---  centos: alsa-lib-devel-1.1.6-2.el7.aarch64.rpm
版本一致：stx: apr-1.4.8-3.el7_4.1.x86_64.rpm                      ---  centos: apr-1.4.8-3.el7_4.1.aarch64.rpm
版本一致：stx: apr-util-1.5.2-6.el7.x86_64.rpm                     ---  centos: apr-util-1.5.2-6.el7.aarch64.rpm
版本一致：stx: at-3.1.13-24.el7.x86_64.rpm                         ---  centos: at-3.1.13-24.el7.aarch64.rpm
版本一致：stx: at-spi2-atk-2.26.2-1.el7.x86_64.rpm                 ---  centos: at-spi2-atk-2.26.2-1.el7.aarch64.rpm
版本一致：stx: at-spi2-atk-devel-2.26.2-1.el7.x86_64.rpm           ---  centos: at-spi2-atk-devel-2.26.2-1.el7.aarch64.rpm
版本一致：stx: at-spi2-core-2.28.0-1.el7.x86_64.rpm                ---  centos: at-spi2-core-2.28.0-1.el7.aarch64.rpm
版本一致：stx: at-spi2-core-devel-2.28.0-1.el7.x86_64.rpm          ---  centos: at-spi2-core-devel-2.28.0-1.el7.aarch64.rpm
版本一致：stx: atk-2.28.1-1.el7.x86_64.rpm                         ---  centos: atk-2.28.1-1.el7.aarch64.rpm
版本一致：stx: atk-devel-2.28.1-1.el7.x86_64.rpm                   ---  centos: atk-devel-2.28.1-1.el7.aarch64.rpm
版本一致：stx: atlas-3.10.1-12.el7.x86_64.rpm                      ---  centos: atlas-3.10.1-12.el7.aarch64.rpm
版本一致：stx: attr-2.4.46-13.el7.x86_64.rpm                       ---  centos: attr-2.4.46-13.el7.aarch64.rpm
版本一致：stx: audit-2.8.4-4.el7.x86_64.rpm                        ---  centos: audit-2.8.4-4.el7.aarch64.rpm
版本一致：stx: audit-libs-2.8.4-4.el7.x86_64.rpm                   ---  centos: audit-libs-2.8.4-4.el7.aarch64.rpm
版本一致：stx: audit-libs-devel-2.8.4-4.el7.x86_64.rpm             ---  centos: audit-libs-devel-2.8.4-4.el7.aarch64.rpm
版本一致：stx: audit-libs-python-2.8.4-4.el7.x86_64.rpm            ---  centos: audit-libs-python-2.8.4-4.el7.aarch64.rpm
版本一致：stx: augeas-1.4.0-6.el7.x86_64.rpm                       ---  centos: augeas-1.4.0-6.el7.aarch64.rpm
版本一致：stx: augeas-libs-1.4.0-6.el7.x86_64.rpm                  ---  centos: augeas-libs-1.4.0-6.el7.aarch64.rpm
版本一致：stx: authconfig-6.2.8-30.el7.x86_64.rpm                  ---  centos: authconfig-6.2.8-30.el7.aarch64.rpm
版本一致：stx: autogen-5.18-5.el7.x86_64.rpm                       ---  centos: autogen-5.18-5.el7.aarch64.rpm
版本一致：stx: autogen-libopts-5.18-5.el7.x86_64.rpm               ---  centos: autogen-libopts-5.18-5.el7.aarch64.rpm
版本一致：stx: autogen-libopts-devel-5.18-5.el7.x86_64.rpm         ---  centos: autogen-libopts-devel-5.18-5.el7.aarch64.rpm
版本一致：stx: avahi-0.6.31-19.el7.x86_64.rpm                      ---  centos: avahi-0.6.31-19.el7.aarch64.rpm
版本一致：stx: avahi-devel-0.6.31-19.el7.x86_64.rpm                ---  centos: avahi-devel-0.6.31-19.el7.aarch64.rpm
版本一致：stx: avahi-libs-0.6.31-19.el7.x86_64.rpm                 ---  centos: avahi-libs-0.6.31-19.el7.aarch64.rpm
版本一致：stx: bash-4.2.46-31.el7.x86_64.rpm                       ---  centos: bash-4.2.46-31.el7.aarch64.rpm
版本一致：stx: bc-1.06.95-13.el7.x86_64.rpm                        ---  centos: bc-1.06.95-13.el7.aarch64.rpm
版本一致：stx: bind-libs-9.9.4-72.el7.x86_64.rpm                   ---  centos: bind-libs-9.9.4-72.el7.aarch64.rpm
版本一致：stx: bind-libs-lite-9.9.4-72.el7.x86_64.rpm              ---  centos: bind-libs-lite-9.9.4-72.el7.aarch64.rpm
版本一致：stx: bind-lite-devel-9.9.4-72.el7.x86_64.rpm             ---  centos: bind-lite-devel-9.9.4-72.el7.aarch64.rpm
版本一致：stx: bind-utils-9.9.4-72.el7.x86_64.rpm                  ---  centos: bind-utils-9.9.4-72.el7.aarch64.rpm
版本一致：stx: binutils-2.27-34.base.el7.x86_64.rpm                ---  centos: binutils-2.27-34.base.el7.aarch64.rpm
版本一致：stx: binutils-devel-2.27-34.base.el7.x86_64.rpm          ---  centos: binutils-devel-2.27-34.base.el7.aarch64.rpm
找不到  ： stx: biosdevname-0.7.3-1.el7.x86_64.rpm 
版本一致：stx: bison-3.0.4-2.el7.x86_64.rpm                        ---  centos: bison-3.0.4-2.el7.aarch64.rpm
版本一致：stx: blas-3.4.2-8.el7.x86_64.rpm                         ---  centos: blas-3.4.2-8.el7.aarch64.rpm
找不到  ： stx: blosc-1.11.3-1.el7.x86_64.rpm 
版本一致：stx: bluez-libs-5.44-4.el7_4.x86_64.rpm                  ---  centos: bluez-libs-5.44-4.el7_4.aarch64.rpm
版本一致：stx: bluez-libs-devel-5.44-4.el7_4.x86_64.rpm            ---  centos: bluez-libs-devel-5.44-4.el7_4.aarch64.rpm
版本一致：stx: boost-1.53.0-27.el7.x86_64.rpm                      ---  centos: boost-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-atomic-1.53.0-27.el7.x86_64.rpm               ---  centos: boost-atomic-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-chrono-1.53.0-27.el7.x86_64.rpm               ---  centos: boost-chrono-1.53.0-27.el7.aarch64.rpm
找不到  ： stx: boost-context-1.53.0-27.el7.x86_64.rpm 
版本一致：stx: boost-date-time-1.53.0-27.el7.x86_64.rpm            ---  centos: boost-date-time-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-devel-1.53.0-27.el7.x86_64.rpm                ---  centos: boost-devel-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-filesystem-1.53.0-27.el7.x86_64.rpm           ---  centos: boost-filesystem-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-graph-1.53.0-27.el7.x86_64.rpm                ---  centos: boost-graph-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-iostreams-1.53.0-27.el7.x86_64.rpm            ---  centos: boost-iostreams-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-locale-1.53.0-27.el7.x86_64.rpm               ---  centos: boost-locale-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-math-1.53.0-27.el7.x86_64.rpm                 ---  centos: boost-math-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-program-options-1.53.0-27.el7.x86_64.rpm      ---  centos: boost-program-options-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-python-1.53.0-27.el7.x86_64.rpm               ---  centos: boost-python-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-random-1.53.0-27.el7.x86_64.rpm               ---  centos: boost-random-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-regex-1.53.0-27.el7.x86_64.rpm                ---  centos: boost-regex-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-serialization-1.53.0-27.el7.x86_64.rpm        ---  centos: boost-serialization-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-signals-1.53.0-27.el7.x86_64.rpm              ---  centos: boost-signals-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-system-1.53.0-27.el7.x86_64.rpm               ---  centos: boost-system-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-test-1.53.0-27.el7.x86_64.rpm                 ---  centos: boost-test-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-thread-1.53.0-27.el7.x86_64.rpm               ---  centos: boost-thread-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-timer-1.53.0-27.el7.x86_64.rpm                ---  centos: boost-timer-1.53.0-27.el7.aarch64.rpm
版本一致：stx: boost-wave-1.53.0-27.el7.x86_64.rpm                 ---  centos: boost-wave-1.53.0-27.el7.aarch64.rpm
版本一致：stx: bridge-utils-1.5-9.el7.x86_64.rpm                   ---  centos: bridge-utils-1.5-9.el7.aarch64.rpm
版本一致：stx: brlapi-0.6.0-16.el7.x86_64.rpm                      ---  centos: brlapi-0.6.0-16.el7.aarch64.rpm
版本一致：stx: brlapi-devel-0.6.0-16.el7.x86_64.rpm                ---  centos: brlapi-devel-0.6.0-16.el7.aarch64.rpm
版本一致：stx: brltty-4.5-16.el7.x86_64.rpm                        ---  centos: brltty-4.5-16.el7.aarch64.rpm
版本一致：stx: btrfs-progs-4.9.1-1.el7.x86_64.rpm                  ---  centos: btrfs-progs-4.9.1-1.el7.aarch64.rpm
版本一致：stx: bzip2-1.0.6-13.el7.x86_64.rpm                       ---  centos: bzip2-1.0.6-13.el7.aarch64.rpm
版本一致：stx: bzip2-devel-1.0.6-13.el7.x86_64.rpm                 ---  centos: bzip2-devel-1.0.6-13.el7.aarch64.rpm
版本一致：stx: bzip2-libs-1.0.6-13.el7.x86_64.rpm                  ---  centos: bzip2-libs-1.0.6-13.el7.aarch64.rpm
版本一致：stx: c-ares-1.10.0-3.el7.x86_64.rpm                      ---  centos: c-ares-1.10.0-3.el7.aarch64.rpm
版本一致：stx: cairo-1.15.12-3.el7.x86_64.rpm                      ---  centos: cairo-1.15.12-3.el7.aarch64.rpm
版本一致：stx: cairo-devel-1.15.12-3.el7.x86_64.rpm                ---  centos: cairo-devel-1.15.12-3.el7.aarch64.rpm
版本一致：stx: cairo-gobject-1.15.12-3.el7.x86_64.rpm              ---  centos: cairo-gobject-1.15.12-3.el7.aarch64.rpm
版本一致：stx: cairo-gobject-devel-1.15.12-3.el7.x86_64.rpm        ---  centos: cairo-gobject-devel-1.15.12-3.el7.aarch64.rpm
版本一致：stx: cdparanoia-libs-10.2-17.el7.x86_64.rpm              ---  centos: cdparanoia-libs-10.2-17.el7.aarch64.rpm
版本一致：stx: celt051-0.5.1.3-8.el7.x86_64.rpm                    ---  centos: celt051-0.5.1.3-8.el7.aarch64.rpm
版本一致：stx: celt051-devel-0.5.1.3-8.el7.x86_64.rpm              ---  centos: celt051-devel-0.5.1.3-8.el7.aarch64.rpm
版本一致：stx: centos-release-7-6.1810.2.el7.centos.x86_64.rpm     ---  centos: centos-release-7-6.1810.2.el7.centos.a.aarch64.rpm
版本一致：stx: check-0.9.9-5.el7.x86_64.rpm                        ---  centos: check-0.9.9-5.el7.aarch64.rpm
版本一致：stx: check-devel-0.9.9-5.el7.x86_64.rpm                  ---  centos: check-devel-0.9.9-5.el7.aarch64.rpm
版本一致：stx: checkpolicy-2.5-8.el7.x86_64.rpm                    ---  centos: checkpolicy-2.5-8.el7.aarch64.rpm
版本一致：stx: chkconfig-1.7.4-1.el7.x86_64.rpm                    ---  centos: chkconfig-1.7.4-1.el7.aarch64.rpm
版本一致：stx: chrpath-0.16-0.el7.x86_64.rpm                       ---  centos: chrpath-0.16-0.el7.aarch64.rpm
版本一致：stx: cifs-utils-6.2-10.el7.x86_64.rpm                    ---  centos: cifs-utils-6.2-10.el7.aarch64.rpm
版本一致：stx: cmake-2.8.12.2-2.el7.x86_64.rpm                     ---  centos: cmake-2.8.12.2-2.el7.aarch64.rpm
找不到  ： stx: collectd-5.8.0-4.el7.x86_64.rpm 
版本一致：stx: colord-libs-1.3.4-1.el7.x86_64.rpm                  ---  centos: colord-libs-1.3.4-1.el7.aarch64.rpm
版本一致：stx: compat-openmpi16-1.6.4-10.7.el7.x86_64.rpm          ---  centos: compat-openmpi16-1.6.4-10.7.el7.aarch64.rpm
版本一致：stx: conntrack-tools-1.4.4-4.el7.x86_64.rpm              ---  centos: conntrack-tools-1.4.4-4.el7.aarch64.rpm
找不到  ： stx: containerd.io-1.2.5-3.1.el7.x86_64.rpm 
找不到  ： stx: containernetworking-cni-0.5.1-1.el7.x86_64.rpm 
版本一致：stx: coolkey-1.1.0-40.el7.x86_64.rpm                     ---  centos: coolkey-1.1.0-40.el7.aarch64.rpm
版本一致：stx: coreutils-8.22-23.el7.x86_64.rpm                    ---  centos: coreutils-8.22-23.el7.aarch64.rpm
版本一致：stx: cpio-2.11-27.el7.x86_64.rpm                         ---  centos: cpio-2.11-27.el7.aarch64.rpm
版本一致：stx: cpp-4.8.5-36.el7.x86_64.rpm                         ---  centos: cpp-4.8.5-36.el7.aarch64.rpm
找不到  ： stx: cppcheck-1.84-1.el7.x86_64.rpm 
版本一致：stx: cpptest-1.1.1-9.el7.x86_64.rpm                      ---  centos: cpptest-1.1.1-9.el7.aarch64.rpm
版本一致：stx: cracklib-2.9.0-11.el7.x86_64.rpm                    ---  centos: cracklib-2.9.0-11.el7.aarch64.rpm
版本一致：stx: cracklib-devel-2.9.0-11.el7.x86_64.rpm              ---  centos: cracklib-devel-2.9.0-11.el7.aarch64.rpm
版本一致：stx: cracklib-dicts-2.9.0-11.el7.x86_64.rpm              ---  centos: cracklib-dicts-2.9.0-11.el7.aarch64.rpm
名称一致：stx: cronie-1.4.11-20.el7_6.x86_64.rpm                   ---  centos: cronie-1.4.11-19.el7.aarch64.rpm
名称一致：stx: cronie-anacron-1.4.11-20.el7_6.x86_64.rpm           ---  centos: cronie-anacron-1.4.11-19.el7.aarch64.rpm
版本一致：stx: cryptsetup-2.0.3-3.el7.x86_64.rpm                   ---  centos: cryptsetup-2.0.3-3.el7.aarch64.rpm
版本一致：stx: cryptsetup-devel-2.0.3-3.el7.x86_64.rpm             ---  centos: cryptsetup-devel-2.0.3-3.el7.aarch64.rpm
版本一致：stx: cryptsetup-libs-2.0.3-3.el7.x86_64.rpm              ---  centos: cryptsetup-libs-2.0.3-3.el7.aarch64.rpm
版本一致：stx: ctags-5.8-13.el7.x86_64.rpm                         ---  centos: ctags-5.8-13.el7.aarch64.rpm
版本一致：stx: cups-client-1.6.3-35.el7.x86_64.rpm                 ---  centos: cups-client-1.6.3-35.el7.aarch64.rpm
版本一致：stx: cups-libs-1.6.3-35.el7.x86_64.rpm                   ---  centos: cups-libs-1.6.3-35.el7.aarch64.rpm
版本一致：stx: curl-7.29.0-51.el7.x86_64.rpm                       ---  centos: curl-7.29.0-51.el7.aarch64.rpm
版本一致：stx: cyrus-sasl-2.1.26-23.el7.x86_64.rpm                 ---  centos: cyrus-sasl-2.1.26-23.el7.aarch64.rpm
版本一致：stx: cyrus-sasl-devel-2.1.26-23.el7.x86_64.rpm           ---  centos: cyrus-sasl-devel-2.1.26-23.el7.aarch64.rpm
版本一致：stx: cyrus-sasl-gssapi-2.1.26-23.el7.x86_64.rpm          ---  centos: cyrus-sasl-gssapi-2.1.26-23.el7.aarch64.rpm
版本一致：stx: cyrus-sasl-lib-2.1.26-23.el7.x86_64.rpm             ---  centos: cyrus-sasl-lib-2.1.26-23.el7.aarch64.rpm
版本一致：stx: dbus-1.10.24-12.el7.x86_64.rpm                      ---  centos: dbus-1.10.24-12.el7.aarch64.rpm
版本一致：stx: dbus-devel-1.10.24-12.el7.x86_64.rpm                ---  centos: dbus-devel-1.10.24-12.el7.aarch64.rpm
版本一致：stx: dbus-glib-0.100-7.el7.x86_64.rpm                    ---  centos: dbus-glib-0.100-7.el7.aarch64.rpm
版本一致：stx: dbus-glib-devel-0.100-7.el7.x86_64.rpm              ---  centos: dbus-glib-devel-0.100-7.el7.aarch64.rpm
版本一致：stx: dbus-libs-1.10.24-12.el7.x86_64.rpm                 ---  centos: dbus-libs-1.10.24-12.el7.aarch64.rpm
版本一致：stx: dbus-python-1.1.1-9.el7.x86_64.rpm                  ---  centos: dbus-python-1.1.1-9.el7.aarch64.rpm
版本一致：stx: dconf-0.28.0-4.el7.x86_64.rpm                       ---  centos: dconf-0.28.0-4.el7.aarch64.rpm
版本一致：stx: deltarpm-3.6-3.el7.x86_64.rpm                       ---  centos: deltarpm-3.6-3.el7.aarch64.rpm
版本一致：stx: desktop-file-utils-0.23-1.el7.x86_64.rpm            ---  centos: desktop-file-utils-0.23-1.el7.aarch64.rpm
名称一致：stx: device-mapper-1.02.146-4.el7.x86_64.rpm             ---  centos: device-mapper-1.02.149-8.el7.aarch64.rpm
名称一致：stx: device-mapper-devel-1.02.146-4.el7.x86_64.rpm       ---  centos: device-mapper-devel-1.02.149-8.el7.aarch64.rpm
名称一致：stx: device-mapper-event-1.02.146-4.el7.x86_64.rpm       ---  centos: device-mapper-event-1.02.149-8.el7.aarch64.rpm
名称一致：stx: device-mapper-event-libs-1.02.146-4.el7.x86_64.rpm  ---  centos: device-mapper-event-libs-1.02.149-8.el7.aarch64.rpm
名称一致：stx: device-mapper-libs-1.02.146-4.el7.x86_64.rpm        ---  centos: device-mapper-libs-1.02.149-8.el7.aarch64.rpm
名称一致：stx: device-mapper-multipath-0.4.9-119.el7.x86_64.rpm    ---  centos: device-mapper-multipath-0.4.9-123.el7.aarch64.rpm
名称一致：stx: device-mapper-multipath-libs-0.4.9-119.el7.x86_..&gt;  ---  centos: device-mapper-multipath-libs-0.4.9-123.el7.aarch64.rpm
版本一致：stx: device-mapper-persistent-data-0.7.3-3.el7.x86_6..&gt;  ---  centos: device-mapper-persistent-data-0.7.3-3.el7.aarch64.rpm
找不到  ： stx: devtoolset-7-binutils-2.28-11.el7.x86_64.rpm 
找不到  ： stx: devtoolset-7-gcc-7.3.1-5.10.el7.x86_64.rpm 
找不到  ： stx: devtoolset-7-gcc-c++-7.3.1-5.10.el7.x86_64.rpm 
找不到  ： stx: devtoolset-7-libstdc++-devel-7.3.1-5.10.el7.x86..&gt; 
找不到  ： stx: devtoolset-7-runtime-7.1-4.el7.x86_64.rpm 
找不到  ： stx: dibbler-client-1.0.1-0.RC1.2.el7.x86_64.rpm 
版本一致：stx: diffutils-3.3-4.el7.x86_64.rpm                      ---  centos: diffutils-3.3-4.el7.aarch64.rpm
版本一致：stx: dmidecode-3.1-2.el7.x86_64.rpm                      ---  centos: dmidecode-3.1-2.el7.aarch64.rpm
找不到  ： stx: docker-ce-18.09.6-3.el7.x86_64.rpm 
找不到  ： stx: docker-ce-cli-18.09.6-3.el7.x86_64.rpm 
找不到  ： stx: docker-forward-journald-1.10.3-44.el7.centos.x8..&gt; 
版本一致：stx: dosfstools-3.0.20-10.el7.x86_64.rpm                 ---  centos: dosfstools-3.0.20-10.el7.aarch64.rpm
版本一致：stx: doxygen-1.8.5-3.el7.x86_64.rpm                      ---  centos: doxygen-1.8.5-3.el7.aarch64.rpm
版本一致：stx: dracut-033-554.el7.x86_64.rpm                       ---  centos: dracut-033-554.el7.aarch64.rpm
版本一致：stx: dracut-config-rescue-033-554.el7.x86_64.rpm         ---  centos: dracut-config-rescue-033-554.el7.aarch64.rpm
版本一致：stx: dracut-network-033-554.el7.x86_64.rpm               ---  centos: dracut-network-033-554.el7.aarch64.rpm
找不到  ： stx: dulwich-core-0.18.4-1.el7.x86_64.rpm 
版本一致：stx: dwz-0.11-3.el7.x86_64.rpm                           ---  centos: dwz-0.11-3.el7.aarch64.rpm
版本一致：stx: dyninst-9.3.1-2.el7.x86_64.rpm                      ---  centos: dyninst-9.3.1-2.el7.aarch64.rpm
版本一致：stx: e2fsprogs-1.42.9-13.el7.x86_64.rpm                  ---  centos: e2fsprogs-1.42.9-13.el7.aarch64.rpm
版本一致：stx: e2fsprogs-devel-1.42.9-13.el7.x86_64.rpm            ---  centos: e2fsprogs-devel-1.42.9-13.el7.aarch64.rpm
版本一致：stx: e2fsprogs-libs-1.42.9-13.el7.x86_64.rpm             ---  centos: e2fsprogs-libs-1.42.9-13.el7.aarch64.rpm
版本一致：stx: ebtables-2.0.10-16.el7.x86_64.rpm                   ---  centos: ebtables-2.0.10-16.el7.aarch64.rpm
版本一致：stx: ed-1.9-4.el7.x86_64.rpm                             ---  centos: ed-1.9-4.el7.aarch64.rpm
版本一致：stx: efibootmgr-17-2.el7.x86_64.rpm                      ---  centos: efibootmgr-17-2.el7.aarch64.rpm
